Titre,Origine,Source Statuts,Age Rating,Date de sortie,Total Chapter,Type,Genres,Image
"
25-Ji No Ghost Writer
",Japon,EnCours,+12ans,2019,3,Seinen,"Drame,Surnaturel,Comédie,Romance,Amour,Fantômes,Ghosts",https://www.japscan.me/imgs/mangas/25-ji-no-ghost-writer.jpg
"
29-Sai Dokushin Wa Isekai De Jiyuu Ni Ikita……katta
",Japon,EnCours,+12ans,null,4.1,Seinen,"Drame,Surnaturel,Comédie,Romance,Amour,Fantômes,Ghosts",https://www.japscan.me/imgs/mangas/29-sai-dokushin-wa-isekai-de-jiyuu-ni-ikita-katta.jpg
"
2 Eclats, 10 Secondes 01
",Japon,Terminé,+12ans,2017,4,Shōnen,"Drame,Surnaturel,Comédie,Romance,Amour,Fantômes,Ghosts",https://www.japscan.me/imgs/mangas/2-eclats-10-secondes-01.jpg
"
2 Expressos
",Japon,Terminé,+16ans,2010,1,Josei,"Mystère,Psychologique,TrancheDeVie,Romance",https://www.japscan.me/imgs/mangas/2-expressos.jpg
"
2 Ways For Lovers
",Chine,EnCours,+14ans,2019,42,Josei,"Drame,TrancheDeVie,Romance,Webtoon,SliceOfLife",https://www.japscan.me/imgs/mangas/2-ways-for-lovers.jpg
"
3CM Hunter
",CoréeDuSud,EnCours,+14ans,2020,109,Shōnen,"Drame,Psychologique,Surnaturel,Post-Apocalyptique,Action,Magie,Aventure,Tragédie,Super-héros,Survival,Webtoon,Webcomic,FullColor",https://www.japscan.me/imgs/mangas/3cm-hunter.jpg
"
3 Gatsu No Lion
",Japon,EnCours,+14ans,2007,16,Seinen,"Drame,TrancheDeVie,Comédie,Social,échec,Jeu,Shogi,Famille,Harcèlement,Quotidien",https://www.japscan.me/imgs/mangas/3-gatsu-no-lion.jpg
"
3, Rue Des Mystères Et Autres Histoires
",Japon,Terminé,+14ans,1980,2,Seinen,"Fantastique,Horreur,Yokai",https://www.japscan.me/imgs/mangas/3-rue-des-mysteres-et-autres-histoires.jpg
"
3 Souhaits
",Japon,Terminé,+14ans,2010,2,null,"Fantastique,Horreur,Yokai",https://www.japscan.me/imgs/mangas/3-souhaits.jpg
"
3 Vierges
",Japon,Terminé,+14ans,2003,2,null,"Fantastique,Horreur,Yokai",https://www.japscan.me/imgs/mangas/3-vierges.jpg
"
3X3 Eyes
",Japon,Terminé,+10ans,1987,40,Seinen,"Fantastique,Drame,Mature,Surnaturel,Action,Horreur,Comédie,Aventure,Romance,ArtsMartiaux",https://www.japscan.me/imgs/mangas/3x3-eyes.jpg
"
49
",Japon,Terminé,null,2012,40,Shōjo,"SchoolLife,Surnaturel,Romance,Tragédie",https://www.japscan.me/imgs/mangas/49.jpg
"
4Life
",Japon,Terminé,+12ans,2018,2,Shōnen,"Fantastique,Action,TrancheDeVie,Aventure",https://www.japscan.me/imgs/mangas/4life.jpg
"
4 Têtes À Claques
",Japon,EnPause,+12ans,2002,2,null,"Fantastique,Action,TrancheDeVie,Aventure",https://www.japscan.me/imgs/mangas/4-tetes-a-claques.jpg
"
5Cm Per Second
",Japon,Terminé,+14ans,2010,2,Seinen,"Drame,SchoolLife,TrancheDeVie,Ecole,Amitié,Romance,Tragédie,Amour,SliceOfLife",https://www.japscan.me/imgs/mangas/5cm-per-second.jpg
"
5 Minutes Forward
",Japon,Terminé,+12ans,2018,7,Shōnen,"Fantastique,Mystère,Surnaturel,Action,Horreur,Gore,Magie,Aventure,Amitié,Monstres,Futur,Post-apocalypse,Survival,VoyageTemporel,TimeTravel",https://www.japscan.me/imgs/mangas/5-minutes-forward.jpg
"
5 Seconds
",Japon,EnCours,+12ans,2015,2,Yaoi,"SchoolLife,Surnaturel,Romance",https://www.japscan.me/imgs/mangas/5-seconds.jpg
"
5Toubun No Hanayome - Rarecheese6262's Itsuki Doujins
",Japon,EnCours,+16ans,2020,15,Shounen,"Comédie,Romance",https://www.japscan.me/imgs/mangas/5toubun-no-hanayome-rarecheese6262-s-itsuki-doujins.jpg
"
6000
",Japon,Terminé,+14ans,2010,4,Seinen,"Suspense,Drame,Mature,Mystère,Surnaturel,Dieux/Déesses,Action,Horreur,Aventure,Tragédie,Monstres,Psychologie,Maritime",https://www.japscan.me/imgs/mangas/6000.jpg
"
666 Satan
",Japon,Terminé,+10ans,2001,19,Shōnen,"Fantastique,Drame,Surnaturel,Ecchi,Action,Comédie,Aventure,Tragédie",https://www.japscan.me/imgs/mangas/666-satan.jpg
"
6-Banme No Satsujin
",Japon,Terminé,+14ans,2016,1,Seinen,"Horreur,Romance",https://www.japscan.me/imgs/mangas/6-banme-no-satsujin.jpg
"
6 No Trigger
",Japon,EnCours,+12ans,2012,4,Shōnen,"Suspense,Drame,Mystère,Surnaturel,Action,Comédie,Tragédie,Science-fiction",https://www.japscan.me/imgs/mangas/6-no-trigger.jpg
"
6 Worlds Of Cultivation
",Japon,EnCours,+12ans,2019,47,Shōnen,"Surnaturel,Action,ArtsMartiaux,Webtoon",https://www.japscan.me/imgs/mangas/6-worlds-of-cultivation.jpg
"
7:30 Mobile Time
",Chine,EnCours,+12ans,null,3,Shōnen,"Surnaturel,Action,ArtsMartiaux,Webtoon",https://www.japscan.me/imgs/mangas/7-30-mobile-time.jpg
"
7-Gatsu No Mahoutsukai
",Japon,EnCours,+12ans,2009,1,Shōjo,"Fantastique,SchoolLife,Romance",https://www.japscan.me/imgs/mangas/7-gatsu-no-mahoutsukai.jpg
"
7 Milliards D'Aiguilles
",Japon,Terminé,+14ans,2008,4,Seinen,"Action,Science-fiction",https://www.japscan.me/imgs/mangas/7-milliards-d-aiguilles.jpg
"
7 Secondes
",Japon,Abondonné,+14ans,2000,4,null,"Action,Science-fiction",https://www.japscan.me/imgs/mangas/7-secondes.jpg
"
7Th Garden
",Japon,EnPause,+14ans,2014,8,Shōnen,"Fantastique,Anges,Drame,Mystère,Surnaturel,Démons,Ecchi,Action,Comédie,Romance,Tragédie,Science-fiction,Vengeance,Religion",https://www.japscan.me/imgs/mangas/7th-garden.jpg
"
81 Fatal Questions
",Chine,EnCours,+14ans,2020,1,Shōnen,"Drame,Mystère,Post-Apocalyptique,Action,Horreur,Aventure,Science-fiction,Thriller,Survival,Webtoon,VideoGames",https://www.japscan.me/imgs/mangas/81-fatal-questions.jpg
"
86 - Eighty Six - Fragmental Neoteny [Prequel]
",Japon,EnCours,+14ans,2021,10,Seinen,"Drame,Action,Combats,Guerre,Tragédie,Science-fiction,Mechas",https://www.japscan.me/imgs/mangas/86-eighty-six-fragmental-neoteny-prequel.jpg
"
8! -Eight!-
",Japon,EnCours,+12ans,2022,1,Shōjo,"TrancheDeVie,Comédie,Amitié",https://www.japscan.me/imgs/mangas/8-eight.jpg
"
8-Options
",Japon,EnCours,+12ans,2013,4,null,"TrancheDeVie,Comédie,Amitié",https://www.japscan.me/imgs/mangas/8-options.jpg
"
990K Ex-Life Hunter
",CoréeDuSud,EnCours,+14ans,2021,73,Shōnen,"Fantastique,Drame,Action,Comédie,Aventure,Webtoon,Fantasy",https://www.japscan.me/imgs/mangas/990k-ex-life-hunter.jpg
"
99 Degrees Fahrenheit
",Chine,EnCours,+14ans,2018,17,Josei,"Drame,Psychologique,TrancheDeVie,Comédie,Romance,Tragédie,Webtoon",https://www.japscan.me/imgs/mangas/99-degrees-fahrenheit.jpg
"
99 Wooden Stick
",CoréeDuSud,EnCours,+14ans,2022,23,Shounen,"Fantastique,Action,Comédie,Aventure",https://www.japscan.me/imgs/mangas/99-wooden-stick.jpg
"
9 Dan Girl
",Chine,EnCours,+14ans,2018,7,Josei,"Drame,Action,TrancheDeVie,Sports,SliceOfLife",https://www.japscan.me/imgs/mangas/9-dan-girl.jpg
"
A. - Answer
",Japon,Terminé,+14ans,2015,2,Shōjo,"Drame,Mystère,SchoolLife,Ecole,Romance",https://www.japscan.me/imgs/mangas/a-answer.jpg
"
Abandoned Wife Has A New Husband
",CoréeDuSud,EnCours,+14ans,2021,20,Shōjo,"Fantastique,Romance,Tragédie,Amour,Webtoon",https://www.japscan.me/imgs/mangas/abandoned-wife-has-a-new-husband.jpg
"
Abara
",Japon,Terminé,+14ans,2006,2,Seinen,"Fantastique,Drame,Surnaturel,Action,Science-fiction",https://www.japscan.me/imgs/mangas/abara.jpg
"
A Beastly Scandal
",CoréeDuSud,EnCours,+14ans,2020,34,Josei,"Drame,Romance,Webtoon,Webcomic",https://www.japscan.me/imgs/mangas/a-beastly-scandal.jpg
"
A Beauty, A Fatal Concubine
",Chine,EnCours,+14ans,2019,14,Shōjo,"Fantastique,Drame,Historique,Romance,Webtoon,Fantasy",https://www.japscan.me/imgs/mangas/a-beauty-a-fatal-concubine.jpg
"
Abide In The Wind
",CoréeDuSud,EnCours,+14ans,2011,38,"Shōnen,Josei","Fantastique,Drame,Action,Aventure,Romance,Tragédie,Webtoon",https://www.japscan.me/imgs/mangas/abide-in-the-wind.jpg
"
Ability
",CoréeDuSud,Terminé,+14ans,2012,60,Shōnen,"Drame,Mystère,Surnaturel,Action,Comédie,ArtsMartiaux,Webtoon",https://www.japscan.me/imgs/mangas/ability.jpg
"
A Bittersweet Life
",CoréeDuSud,EnCours,+12ans,2011,26,Josei,"TrancheDeVie,Comédie,Romance,Webtoon",https://www.japscan.me/imgs/mangas/a-bittersweet-life.jpg
"
Abnormal Kei Joshi
",Japon,EnPause,+12ans,2012,3,"Shōjo,Seinen","Fantastique,Drame,Mature,Mystère,SchoolLife,Action,Horreur,TrancheDeVie,Comédie,Romance,Psychologie,Harem",https://www.japscan.me/imgs/mangas/abnormal-kei-joshi.jpg
"
A Bout
",Japon,EnCours,+12ans,2010,19,Shōnen,"SchoolLife,Action,Comédie,Aventure",https://www.japscan.me/imgs/mangas/a-bout.jpg
"
About Teddy Bear
",Chine,EnCours,+14ans,2019,10,Shōjo,"Drame,Romance",https://www.japscan.me/imgs/mangas/about-teddy-bear.jpg
"
Above All Gods
",Japon,EnCours,+14ans,null,240,Shōjo,"Drame,Romance",https://www.japscan.me/imgs/mangas/above-all-gods.jpg
"
Above The Cloud Sea
",Chine,Terminé,+14ans,2016,44,Shōnen,"Fantastique,Action,Aventure,Science-fiction",https://www.japscan.me/imgs/mangas/above-the-cloud-sea.jpg
"
Above The Heavens
",Chine,EnCours,+12ans,2021,5,Shōnen,"Fantastique,Surnaturel,Action",https://www.japscan.me/imgs/mangas/above-the-heavens.jpg
"
A Boy Who Loves Genderswap Got Genderswapped, So He Acts Out His Ideal Genderswap Girl
",Japon,EnCours,+16ans,2019,11,Shōjo,"Comédie,SliceOfLife",https://www.japscan.me/imgs/mangas/a-boy-who-loves-genderswap-got-genderswapped-so-he-acts-out-his-ideal-genderswap-girl.jpg
"
Absolute Duo
",Japon,EnPause,+12ans,2013,16,"Shōnen,Seinen","Fantastique,Mature,Surnaturel,Ecchi,Action,Aventure,Combats,Romance,Harem,ArtsMartiaux",https://www.japscan.me/imgs/mangas/absolute-duo.jpg
"
Absolute Peerless Doctor
",Chine,EnCours,+12ans,2019,1,null,"Fantastique,Mature,Surnaturel,Ecchi,Action,Aventure,Combats,Romance,Harem,ArtsMartiaux",https://www.japscan.me/imgs/mangas/absolute-peerless-doctor.jpg
"
Absolute Resonance
",Chine,EnCours,+14ans,2021,14.5,Shōnen,"Fantastique,Action,Aventure,Webtoon",https://www.japscan.me/imgs/mangas/absolute-resonance.jpg
"
Absolute Sword Sense
",CoréeDuSud,EnCours,+12ans,2022,11,Shounen,"Fantastique,Drame,Surnaturel,Action,Aventure,Historique,Réincarnation,ArtsMartiaux,Webtoon,TimeTravel",https://www.japscan.me/imgs/mangas/absolute-sword-sense.jpg
"
Absolute Witch
",CoréeDuSud,EnCours,null,2006,11,"Shōjo,Josei","Fantastique,Drame,Surnaturel,Comédie,Aventure,Historique,Romance,Fantasy",https://www.japscan.me/imgs/mangas/absolute-witch.jpg
"
A Butterfly Metamorphoses Three Times
",CoréeDuSud,EnCours,+14ans,2020,9,Josei,"Drame,Romance,SliceOfLife",https://www.japscan.me/imgs/mangas/a-butterfly-metamorphoses-three-times.jpg
"
Abyss
",Japon,EnPause,+12ans,2013,8,Shōnen,"Drame,Action,Horreur,Science-fiction",https://www.japscan.me/imgs/mangas/abyss.jpg
"
A Capable Maid
",CoréeDuSud,EnCours,+12ans,2019,2,Shōjo,"Drame,Historique,Romance,Webtoon",https://www.japscan.me/imgs/mangas/a-capable-maid.jpg
"
Accel World
",Japon,EnPause,+14ans,2010,8,Shōnen,"Drame,SchoolLife,Ecchi,Action,Comédie,Tournois,Aventure,Romance,Science-fiction",https://www.japscan.me/imgs/mangas/accel-world.jpg
"
Accords Parfaits
",Japon,Terminé,+12ans,1999,1,Shōjo,"Fantastique,Drame,SchoolLife,Comédie,Romance,Musique",https://www.japscan.me/imgs/mangas/accords-parfaits.jpg
"
Ace Attorney - Investigations
",Japon,Terminé,+14ans,2009,4,Seinen,"Suspense,Drame,Mystère,Comédie,Policier",https://www.japscan.me/imgs/mangas/ace-attorney-investigations.jpg
"
Ace Attorney - Phoenix Wright
",Japon,Terminé,+14ans,2007,5,"Seinen,Shounen","Suspense,Drame,Mystère,Comédie,Police",https://www.japscan.me/imgs/mangas/ace-attorney-phoenix-wright.jpg
"
Ace Of Diamond
",Japon,EnCours,+12ans,2006,47,Shōnen,"Drame,SchoolLife,Sport,Comédie,Ecole,Tournois,Baseball",https://www.japscan.me/imgs/mangas/ace-of-diamond.jpg
"
Ace Of Diamond Act II
",Japon,EnCours,+10ans,2015,15,Shōnen,"Drame,SchoolLife,Sport,TrancheDeVie,Comédie,Ecole,Tournois,Baseball",https://www.japscan.me/imgs/mangas/ace-of-diamond-act-ii.jpg
"
Ace Of Hearts
",Japon,EnCours,+10ans,2020,4,null,"Drame,SchoolLife,Sport,TrancheDeVie,Comédie,Ecole,Tournois,Baseball",https://www.japscan.me/imgs/mangas/ace-of-hearts.jpg
"
A Certain Magical Index
",Japon,EnCours,+12ans,2007,24,Shōnen,"Fantastique,Surnaturel,Action,Comédie,Magie,Aventure,SuperPouvoirs,Romance,Science-fiction,Harem",https://www.japscan.me/imgs/mangas/a-certain-magical-index.jpg
"
Acony
",Japon,Terminé,+12ans,2004,3,Seinen,"Fantastique,Drame,Surnaturel,TrancheDeVie",https://www.japscan.me/imgs/mangas/acony.jpg
"
Act-Age
",Japon,Terminé,+10ans,2018,12,Shōnen,"Drame,TrancheDeVie,Comédie,Romance,Cinéma",https://www.japscan.me/imgs/mangas/act-age.jpg
"
Action Idols - Age Of Young Dragons
",Japon,EnPause,+14ans,2015,25,Shōnen,"Drame,SchoolLife,Ecchi,Action,Comédie,ArtsMartiaux",https://www.japscan.me/imgs/mangas/action-idols-age-of-young-dragons.jpg
"
Actually, I Was The Real One
",CoréeDuSud,EnCours,+14ans,2020,56,Shōjo,"Fantastique,Webtoon,TimeTravel",https://www.japscan.me/imgs/mangas/actually-i-was-the-real-one.jpg
"
Adabana
",Japon,Terminé,+16ans,2020,3,Seinen,"Drame,Mature,Mystère,Psychologique,Crime,SexuelViolence",https://www.japscan.me/imgs/mangas/adabana.jpg
"
Adachi To Shimamura
",Japon,EnCours,+14ans,2012,7,Yuri,"SchoolLife,TrancheDeVie,Ecole,Romance,ShoujoAi",https://www.japscan.me/imgs/mangas/adachi-to-shimamura.jpg
"
Adam Et Ève
",Japon,Terminé,+16ans,2015,2,Seinen,"Suspense,Drame,Mature,Surnaturel,Action,OrganisationsSecrètes",https://www.japscan.me/imgs/mangas/adam-et-eve.jpg
"
Adam - L'Ultime Robot
",Japon,Terminé,+12ans,2016,4,Shōnen,"Suspense,Action,Espace,Science-fiction,Robots,Aliens",https://www.japscan.me/imgs/mangas/adam-l-ultime-robot.jpg
"
Adamson
",Japon,Terminé,+12ans,2008,3,Shōnen,"Suspense,Action,Espace,Science-fiction,Robots,Aliens",https://www.japscan.me/imgs/mangas/adamson.jpg
"
Adarshan No Hanayome
",Japon,Terminé,+12ans,2006,8.5,Shōjo,"Fantastique,Drame,Historique,Romance",https://www.japscan.me/imgs/mangas/adarshan-no-hanayome.jpg
"
Ad Astra
",Japon,Terminé,+14ans,2011,13,Seinen,"Drame,Militaire,Aventure,Guerre,Historique,Psychologie",https://www.japscan.me/imgs/mangas/ad-astra.jpg
"
Adekan
",Japon,EnCours,+14ans,2008,15,Shōjo,"Suspense,Fantastique,Drame,Mystère,Surnaturel,Action,Comédie,Historique,Psychologie",https://www.japscan.me/imgs/mangas/adekan.jpg
"
A Demotion Isn’t That Bad
",Japon,Terminé,+12ans,2015,7,Seinen,"Fantastique,Drame,Militaire,TrancheDeVie,Comédie,Romance,Famille,Quotidien,Amour",https://www.japscan.me/imgs/mangas/a-demotion-isn-t-that-bad.jpg
"
Adeyaka Prince
",Japon,EnCours,+12ans,2011,1,Shōjo,Romance,https://www.japscan.me/imgs/mangas/adeyaka-prince.jpg
"
Adieu, Eri
",Japon,Terminé,+12ans,2022,1,Shōnen,"Drame,TrancheDeVie,Romance,Tragédie,Philosophique",https://www.japscan.me/imgs/mangas/adieu-eri.jpg
"
A Dimwitted Monk Fell From Heaven
",Chine,Terminé,+12ans,2016,59,Shōjo,"Surnaturel,TrancheDeVie,Comédie,Romance",https://www.japscan.me/imgs/mangas/a-dimwitted-monk-fell-from-heaven.jpg
"
Admiral's Monster Wife
",CoréeDuSud,EnCours,+14ans,2021,16,Josei,"Comédie,Magie,Historique,Romance,Webtoon",https://www.japscan.me/imgs/mangas/admiral-s-monster-wife.jpg
"
Adorablement Chien
",CoréeDuSud,EnCours,+14ans,2017,89,null,"Comédie,Magie,Historique,Romance,Webtoon",https://www.japscan.me/imgs/mangas/adorablement-chien.jpg
"
Adrenalin
",CoréeDuSud,Terminé,+12ans,2004,4,"Shōnen,Shōjo","Fantastique,Horreur,Comédie,Magie,Aventure,Romance,GenderBender,Vampires",https://www.japscan.me/imgs/mangas/adrenalin.jpg
"
Advent
",Japon,Terminé,+12ans,2003,2,Seinen,"Fantastique,Horreur,Comédie,Magie,Aventure,Romance,GenderBender,Vampires",https://www.japscan.me/imgs/mangas/advent.jpg
"
Advent Life Revision
",CoréeDuSud,EnCours,+16ans,2020,1,Shōnen,"Fantastique,Action,Comédie,Aventure,SliceOfLife",https://www.japscan.me/imgs/mangas/advent-life-revision.jpg
"
Adventure And Trouble Diary
",CoréeDuSud,Terminé,+16ans,2005,35,Shōjo,"Fantastique,Drame,SchoolLife,Comédie,Aventure,Romance,Science-fiction",https://www.japscan.me/imgs/mangas/adventure-and-trouble-diary.jpg
"
Adventure Boys
",Japon,Terminé,+16ans,2006,7,Seinen,"Drame,Mystère,Surnaturel,TrancheDeVie,Psychologie",https://www.japscan.me/imgs/mangas/adventure-boys.jpg
"
Adventure Of God
",CoréeDuSud,EnCours,+16ans,2018,460,null,"Drame,Mystère,Surnaturel,TrancheDeVie,Psychologie",https://www.japscan.me/imgs/mangas/adventure-of-god.jpg
"
Adventures Of An Undead Who Became Paladin
",Chine,EnCours,+16ans,2021,12,null,"Drame,Mystère,Surnaturel,TrancheDeVie,Psychologie",https://www.japscan.me/imgs/mangas/adventures-of-an-undead-who-became-paladin.jpg
